종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"010060","OCI","KOSPI",,"94100","2000","2.17","94400","94900","92700","300797","28258449000","2244225811100","23849371"
"178920","PI첨단소재","KOSPI",,"32800","1050","3.31","32100","33250","32100","38354","1258639650","963215361600","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","4955","15","0.30","5010","5100","4950","37921","189657040","49550000000","10000000"
"005490","POSCO홀딩스","KOSPI",,"246000","8500","3.58","240500","249000","239000","467706","114397072500","20804522580000","84571230"
"218410","RFHIC","KOSDAQ","우량기업부","20150","1850","10.11","19250","20150","19150","238472","4707239400","539746645100","26786434"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부","10400","700","7.22","9910","10450","9910","81429","827717990","85256048800","8197697"
"091340","S&K폴리텍","KOSDAQ","중견기업부","3205","80","2.56","3145","3350","3145","28258","90010010","37510425805","11703721"
"010950","S-Oil","KOSPI",,"85300","3300","4.02","83400","86200","83300","347708","29648235800","9603312157600","112582792"
"010955","S-Oil우","KOSPI",,"57500","1400","2.50","57100","57900","56500","15526","892980500","231260802500","4021927"
"019550","SBI인베스트먼트","KOSDAQ","벤처기업부","1015","67","7.07","966","1020","966","982635","980501579","164497573625","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","4160","5","0.12","4160","4170","4145","3803","15814275","100058566400","24052540"
"034120","SBS","KOSPI",,"30350","300","1.00","30500","30900","30350","27566","844019300","553965863700","18252582"
"046140","SBS콘텐츠허브","KOSDAQ","우량기업부","5200","20","0.39","5220","5400","5190","19722","103667850","111610486000","21463555"
"151910","SBW생명과학","KOSDAQ","중견기업부","1515","75","5.21","1500","1525","1485","838574","1261174590","268358188770","177134118"
"036120","SCI평가정보","KOSDAQ","중견기업부","4455","165","3.85","4020","4560","3955","10671690","46284704425","158152500000","35500000"
"099220","SDN","KOSDAQ","중견기업부","2005","125","6.65","1920","2020","1920","911024","1801786000","112624481055","56171811"
"036540","SFA반도체","KOSDAQ","우량기업부","4425","75","1.72","4440","4500","4410","523823","2329212945","727736840775","164460303"
"255220","SG","KOSDAQ","중견기업부","1210","50","4.31","1160","1255","1160","63205","75748580","54155593690","44756689"
"040610","SG&G","KOSDAQ","중견기업부","1525","70","4.81","1485","1540","1480","268407","405679785","51982973900","34087196"
"049470","SGA","KOSDAQ","중견기업부","681","21","3.18","660","693","660","44382","30166381","40085191569","58862249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","707","43","6.48","675","742","664","455085","320983774","38310367368","54187224"
"005090","SGC에너지","KOSPI",,"30700","500","1.66","30500","31050","30450","15877","486892150","450584022800","14677004"
"016250","SGC이테크건설","KOSDAQ","우량기업부","37500","1050","2.88","36800","37700","36650","7595","283539450","97479187500","2599445"
"001380","SG글로벌","KOSPI",,"1025","25","2.50","1000","1030","1000","34401","35138955","46088246575","44964143"
"004060","SG세계물산","KOSPI",,"559","13","2.38","548","564","548","535835","298928936","113155552640","202424960"
"001770","SHD","KOSPI",,"44650","6050","15.67","38850","45600","38850","120101","5185692900","54244302700","1214878"
"002360","SH에너지화학","KOSPI",,"893","23","2.64","879","900","879","926679","825660226","99242420890","111133730"
"009160","SIMPAC","KOSPI",,"4630","200","4.51","4480","4630","4480","74490","340768405","302938659080","65429516"
"123700","SJM","KOSPI",,"3395","150","4.62","3255","3470","3200","72962","246006260","52978628710","15604898"
"025530","SJM홀딩스","KOSPI",,"3855","355","10.14","3625","4115","3595","2968404","11739307275","57570600840","14934008"
"034730","SK","KOSPI",,"206000","6500","3.26","203000","209500","202000","124201","25681737000","15274761774000","74149329"
"337450","SK5호스팩","KOSDAQ","SPAC(소속부없음)","3200","0","0.00","0","0","0","0","0","13792000000","4310000"
"340350","SK6호스팩","KOSDAQ","관리종목(소속부없음)","2015","5","0.25","2010","2015","2010","146505","294517180","11505650000","5710000"
"011790","SKC","KOSPI",,"99200","6700","7.24","95000","102000","94600","597232","59320413500","3756535161600","37868298"
"018670","SK가스","KOSPI",,"112500","2000","1.81","113000","113500","111500","4792","537723500","1038402450000","9230244"
"001740","SK네트웍스","KOSPI",,"3905","100","2.63","3840","3925","3825","330956","1285143125","969172761535","248187647"
"001745","SK네트웍스우","KOSPI",,"60500","-6900","-10.24","63400","65400","60500","9827","612311800","6875704000","113648"
"006120","SK디스커버리","KOSPI",,"30150","650","2.20","29600","30400","29500","14982","449236250","573991328250","19037855"
"006125","SK디스커버리우","KOSPI",,"27500","300","1.10","26500","27650","26500","3637","98189800","37357512500","1358455"
"210980","SK디앤디","KOSPI",,"21700","250","1.17","22100","22100","21650","7655","166864450","481526558800","22190164"
"068400","SK렌터카","KOSPI",,"6450","50","0.78","6410","6570","6410","43973","284548580","304993668000","47285840"
"395400","SK리츠","KOSPI",,"4475","-75","-1.65","4530","4600","4415","371429","1655979735","879579503525","196554079"
"302440","SK바이오사이언스","KOSPI",,"71300","-900","-1.25","73300","74200","71100","327745","23771275500","5474702479800","76784046"
"326030","SK바이오팜","KOSPI",,"54500","2700","5.21","52600","54700","52500","165888","8941450100","4268072125000","78313250"
"402340","SK스퀘어","KOSPI",,"38400","300","0.79","38450","39000","38150","434148","16690612450","5432354726400","141467571"
"260870","SK시그넷","KONEX","일반기업부","40350","850","2.15","40000","40400","39800","1298","52079500","237122504700","5876642"
"361610","SK아이이테크놀로지","KOSPI",,"49050","1000","2.08","49300","50400","48750","684354","33909680200","3497146887600","71297592"
"03473K","SK우","KOSPI",,"172000","3500","2.08","171500","175000","170500","782","135015000","97375220000","566135"
"096770","SK이노베이션","KOSPI",,"157000","5500","3.63","154500","160000","154000","406946","63883220500","14517093548000","92465564"
"096775","SK이노베이션우","KOSPI",,"96300","3800","4.11","93500","97000","93500","2779","266166200","120223423800","1248426"
"001510","SK증권","KOSPI",,"653","12","1.87","649","662","649","765977","502071376","308601381663","472590171"
"001515","SK증권우","KOSPI",,"2830","55","1.98","2810","2830","2795","2561","7188360","11072414620","3912514"
"285130","SK케미칼","KOSPI",,"82700","4000","5.08","79400","82700","79400","90071","7364956300","1457238506000","17620780"
"28513K","SK케미칼우","KOSPI",,"39050","1350","3.58","37800","39200","37800","6736","260400750","82607502450","2115429"
"017670","SK텔레콤","KOSPI",,"49700","1150","2.37","48850","50000","48750","390804","19414773200","10876007256800","218833144"
"000660","SK하이닉스","KOSPI",,"95500","600","0.63","96000","96600","94300","3516437","334828561464","69524225857500","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","3180","180","6.00","3065","3465","3060","2541475","8286167305","304087881600","95625120"
"063440","SM Life Design","KOSDAQ","중견기업부","2140","160","8.08","2030","2330","2030","3140026","6818652400","97860389560","45729154"
"064960","SNT모티브","KOSPI",,"41400","1300","3.24","40650","41800","40650","14127","583998700","605397830400","14623136"
"100840","SNT에너지","KOSPI",,"19100","1500","8.52","18250","19550","18050","111566","2106026900","143378180100","7506711"
"003570","SNT중공업","KOSPI",,"9010","360","4.16","8730","9090","8700","100295","897381860","299606799970","33252697"
"036530","SNT홀딩스","KOSPI",,"13900","450","3.35","13500","14000","13450","13061","180373650","226624015400","16303886"
"005610","SPC삼립","KOSPI",,"78800","1000","1.29","77600","79100","77600","5915","463316900","679965909200","8629009"
"011810","STX","KOSPI",,"4470","350","8.50","4145","4480","4115","3794612","16425834805","127937899380","28621454"
"077970","STX엔진","KOSPI",,"12300","450","3.80","12100","12500","12000","49218","603288200","283009519200","23008904"
"071970","STX중공업","KOSPI",,"3870","200","5.45","3940","3940","3720","64086","245034730","109776327120","28365976"
"002820","SUN&L","KOSPI",,"3590","95","2.72","3495","3595","3455","4734","16675430","45262680510","12607989"
"289080","SV인베스트먼트","KOSDAQ","벤처기업부","1980","85","4.49","1930","2000","1930","395198","776234215","105403320000","53234000"
"084870","TBH글로벌","KOSPI",,"1625","30","1.88","1595","1690","1595","21134","34531835","33892330875","20856819"
"002710","TCC스틸","KOSPI",,"8150","400","5.16","7960","8180","7960","229994","1857487920","202472723850","24843279"
"089230","THE E&M","KOSDAQ","중견기업부","349","31","9.75","318","412","318","9910663","3739544397","60534116659","173450191"
"161570","THE MIDONG","KOSDAQ","중견기업부","930","12","1.31","918","943","911","24481","22597773","14492031900","15582830"
"032540","TJ미디어","KOSDAQ","중견기업부","5390","90","1.70","5340","5470","5310","36828","198006490","75091372510","13931609"
"022220","TKG애강","KOSDAQ","우량기업부","1350","55","4.25","1315","1360","1315","99339","133386970","69922681650","51794579"
"069260","TKG휴켐스","KOSPI",,"20300","400","2.01","20100","20500","19950","98189","1987582250","829835336400","40878588"
"048770","TPC","KOSDAQ","벤처기업부","3265","215","7.05","3120","3265","3120","53382","171597575","50536776835","15478339"
"246690","TS인베스트먼트","KOSDAQ","벤처기업부","1655","70","4.42","1615","1675","1615","600337","993301265","64951929745","39245879"
"317240","TS트릴리온","KOSDAQ","벤처기업부","680","20","3.03","712","789","677","3641122","2619117283","64224385000","94447625"
"002900","TYM","KOSPI",,"2100","150","7.69","2000","2110","2000","2273384","4685868005","319942868700","152353747"
"038340","UCI","KOSDAQ","투자주의환기종목(소속부없음)","1335","0","0.00","0","0","0","0","0","16641828315","12465789"
"073570","WI","KOSDAQ","중견기업부","2955","-110","-3.59","3175","3175","2950","3868987","11757949400","239073899715","80904873"
"024070","WISCOM","KOSPI",,"2635","45","1.74","2590","2635","2575","18350","47715515","40385164130","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","3395","220","6.93","3335","3415","3255","96011","321591005","55381606315","16312697"
"037270","YG PLUS","KOSPI",,"4140","235","6.02","4010","4175","4010","367348","1511125490","262597757400","63429410"
"040300","YTN","KOSDAQ","우량기업부","5240","265","5.33","5140","5270","5030","1634166","8427452760","220080000000","42000000"
"051390","YW","KOSDAQ","중견기업부","3195","145","4.75","3060","3365","3060","33090","104976745","36280400760","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4460","60","1.36","4265","4615","4225","3940068","17528197535","102580000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","9530","170","1.82","9510","9660","9410","32636","311401430","128995068520","13535684"
"078890","가온미디어","KOSDAQ","우량기업부","5880","390","7.10","5610","5880","5590","117192","675240110","95689802880","16273776"
"000500","가온전선","KOSPI",,"15200","150","1.00","15100","15550","15100","22188","338824100","63237274400","4160347"
